Sample	Gender	Pop	Sub.pop
HG00313	female	EUR	FIN
HG01073	female	AMR	PUR
HG00242	male	EUR	GBR
HG00318	female	EUR	FIN
HG01080	female	AMR	PUR
HG00247	female	EUR	GBR
HG00320	female	EUR	FIN
HG01100	female	AMR	PUR
HG00254	female	EUR	GBR
HG00325	male	EUR	FIN
HG01105	female	AMR	PUR
HG00259	female	EUR	GBR
HG00332	female	EUR	FIN
HG01112	male	AMR	CLM
HG00261	female	EUR	GBR
HG00337	female	EUR	FIN
HG01028	male	EAS	CDX
HG00367	female	EUR	FIN
HG00344	female	EUR	FIN
HG01047	male	AMR	PUR
HG00379	female	EUR	FIN
HG00349	female	EUR	FIN
HG01054	male	AMR	PUR
HG00381	female	EUR	FIN
HG00351	male	EUR	FIN
HG00739	male	AMR	PUR
HG00406	male	EAS	CHS
HG00356	female	EUR	FIN
HG00741	female	AMR	PUR
HG00331	female	EUR	FIN
HG00267	male	EUR	FIN
HG00866	male	EAS	CDX
HG00336	male	EUR	FIN
HG00274	female	EUR	FIN
HG01085	male	AMR	PUR
HG00343	female	EUR	FIN
HG00281	female	EUR	FIN
HG01092	female	AMR	PUR
HG00350	female	EUR	FIN
HG00534	female	EAS	CHS
HG01097	male	AMR	PUR
HG00355	female	EUR	FIN
HG00717	female	EAS	CHS
HG00708	female	EAS	CHS
HG00362	female	EUR	FIN
HG00729	female	EAS	CHS
HG00734	female	AMR	PUR
HG00418	male	EAS	CHS
HG00731	male	AMR	PUR
HG01124	male	AMR	CLM
HG00420	male	EAS	CHS
HG00736	male	AMR	PUR
HG01131	female	AMR	CLM
HG00437	female	EAS	CHS
HG01063	male	AMR	PUR
HG01136	male	AMR	CLM
HG00444	male	EAS	CHS
HG01068	female	AMR	PUR
HG01148	male	AMR	CLM
HG00139	male	EUR	GBR
HG01070	female	AMR	PUR
HG01150	female	AMR	CLM
HG00141	male	EUR	GBR
HG01075	male	AMR	PUR
HG01364	female	AMR	CLM
HG00146	female	EUR	GBR
HG01082	male	AMR	PUR
HG01369	female	AMR	CLM
HG00153	female	EUR	GBR
HG00983	male	EAS	CDX
HG01376	female	AMR	CLM
HG00266	female	EUR	FIN
HG01049	female	AMR	PUR
HG01383	male	AMR	CLM
HG00273	male	EUR	FIN
HG01051	male	AMR	PUR
HG01390	female	AMR	CLM
HG00278	male	EUR	FIN
HG01056	male	AMR	PUR
HG01249	female	AMR	PUR
HG00280	male	EUR	FIN
HG00623	female	EAS	CHS
HG01251	female	AMR	CLM
HG00285	female	EUR	FIN
HG00628	male	EAS	CHS
HG01256	male	AMR	CLM
HG00122	female	EUR	GBR
HG00630	male	EAS	CHS
HG01162	female	AMR	PUR
HG00127	female	EUR	GBR
HG00635	female	EAS	CHS
HG01167	male	AMR	PUR
HG00134	female	EUR	GBR
HG00685	male	EAS	CHS
HG01174	female	AMR	PUR
HG00312	male	EUR	FIN
HG00692	male	EAS	CHS
HG01275	female	AMR	CLM
HG00324	female	EUR	FIN
HG00700	female	EAS	CHS
HG01302	male	AMR	PUR
HG00329	male	EUR	FIN
HG00705	female	EAS	CHS
HG01326	female	AMR	PUR
HG00502	male	EAS	CHS
HG01107	male	AMR	PUR
HG01345	female	AMR	CLM
HG00514	female	EAS	CHS
HG01114	female	AMR	CLM
HG01352	female	AMR	CLM
HG00526	male	EAS	CHS
HG01119	female	AMR	CLM
HG01357	female	AMR	CLM
HG00533	male	EAS	CHS
HG01121	male	AMR	CLM
HG01198	female	AMR	PUR
HG00538	male	EAS	CHS
HG00642	male	AMR	PUR
HG01206	male	AMR	PUR
HG00634	male	EAS	CHS
HG00654	female	EAS	CHS
HG01395	male	AMR	PUR
HG00639	female	AMR	PUR
HG00673	male	EAS	CHS
HG01403	female	AMR	PUR
HG00641	female	AMR	PUR
HG01087	female	AMR	PUR
HG01491	male	AMR	CLM
HG00653	male	EAS	CHS
HG01094	male	AMR	PUR
HG01496	female	AMR	CLM
HG00658	male	EAS	CHS
HG01099	male	AMR	PUR
HG01504	female	EUR	IBS
HG00672	female	EAS	CHS
HG01102	female	AMR	PUR
HG01597	female	EAS	KHV
HG00583	male	EAS	CHS
HG00743	female	AMR	PUR
HG01600	female	EAS	KHV
HG00590	female	EAS	CHS
HG00844	male	EAS	CDX
HG01605	female	EUR	IBS
HG00595	male	EAS	CHS
HG00851	female	EAS	CDX
HG01509	male	EUR	IBS
HG00608	female	EAS	CHS
HG01164	male	AMR	PUR
HG01511	female	EUR	IBS
HG00610	male	EAS	CHS
HG01169	female	AMR	PUR
HG01516	female	EUR	IBS
HG00742	male	AMR	PUR
HG01171	female	AMR	PUR
HG01523	male	EUR	IBS
HG00759	female	EAS	CDX
HG01176	male	AMR	PUR
HG01415	female	AMR	PUR
HG00766	female	EAS	CDX
HG01183	female	AMR	PUR
HG01439	female	AMR	CLM
HG00867	female	EAS	CDX
HG01188	female	AMR	PUR
HG01441	female	AMR	CLM
HG00879	female	EAS	CDX
HG01190	male	AMR	PUR
HG01566	female	AMR	PEL
HG00881	male	EAS	CDX
HG01311	male	AMR	PUR
HG01573	female	AMR	PEL
HG00684	female	EAS	CHS
HG01323	female	AMR	PUR
HG01578	female	AMR	PEL
HG00689	male	EAS	CHS
HG01342	female	AMR	CLM
HG01612	female	EUR	IBS
HG00691	male	EAS	CHS
HG01347	male	AMR	CLM
HG01617	male	EUR	IBS
HG00704	male	EAS	CHS
HG01354	female	AMR	CLM
HG01624	male	EUR	IBS
HG00449	female	EAS	CHS
HG01359	male	AMR	CLM
HG01477	female	AMR	CLM
HG00451	male	EAS	CHS
HG01361	female	AMR	CLM
HG01484	female	AMR	CLM
HG00463	male	EAS	CHS
HG01366	female	AMR	CLM
HG01489	female	AMR	CLM
HG00475	male	EAS	CHS
HG01253	male	AMR	CLM
HG01453	female	AMR	CLM
HG00709	male	EAS	CHS
HG01258	male	AMR	CLM
HG01465	female	AMR	CLM
HG00716	male	EAS	CHS
HG01260	female	AMR	CLM
HG01528	female	EUR	IBS
HG00728	male	EAS	CHS
HG01272	female	AMR	CLM
HG01530	male	EUR	IBS
HG00730	female	EAS	CHS
HG01126	male	AMR	CLM
HG01782	female	EUR	IBS
HG00735	female	AMR	PUR
HG01133	male	AMR	CLM
HG01787	female	EUR	IBS
HG00552	male	AMR	PUR
HG01138	male	AMR	CLM
HG01794	female	EAS	CDX
HG00557	female	EAS	CHS
HG01140	female	AMR	CLM
HG01629	male	EUR	IBS
HG00615	female	EAS	CHS
HG01378	female	AMR	CLM
HG01631	male	EUR	IBS
HG00622	male	EAS	CHS
HG01385	female	AMR	CLM
HG01667	male	EUR	IBS
HG00627	male	EAS	CHS
HG01392	male	AMR	PUR
HG01674	male	EUR	IBS
HG00956	female	EAS	CDX
HG01397	female	AMR	PUR
HG01768	female	EUR	IBS
HG00982	male	EAS	CDX
HG01405	male	AMR	PUR
HG01770	female	EUR	IBS
HG01029	female	EAS	CDX
HG01412	male	AMR	PUR
HG01775	male	EUR	IBS
HG01031	male	EAS	CDX
HG01277	male	AMR	CLM
HG01679	female	EUR	IBS
HG01048	male	AMR	PUR
HG01284	female	AMR	CLM
HG01681	female	EUR	IBS
HG01050	female	AMR	PUR
HG01195	female	AMR	PUR
HG01686	male	EUR	IBS
HG01055	female	AMR	PUR
HG01241	male	AMR	PUR
HG01756	male	EUR	IBS
HG01168	female	AMR	PUR
HG01493	female	AMR	CLM
HG01763	female	EUR	IBS
HG01170	male	AMR	PUR
HG01498	female	AMR	CLM
HG01852	male	EAS	KHV
HG01175	female	AMR	PUR
HG01501	female	EUR	IBS
HG01857	female	EAS	KHV
HG01182	male	AMR	PUR
HG01506	male	EUR	IBS
HG01864	male	EAS	KHV
HG01252	male	AMR	CLM
HG01532	male	EUR	IBS
HG01799	female	EAS	CDX
HG01257	female	AMR	CLM
HG01537	female	EUR	IBS
HG01802	female	EAS	CDX
HG01269	female	AMR	CLM
HG01551	female	AMR	CLM
HG01807	female	EAS	CDX
HG01271	male	AMR	CLM
HG01556	male	AMR	CLM
HG01698	male	EUR	IBS
HG01062	female	AMR	PUR
HG01513	female	EUR	IBS
HG01701	male	EUR	IBS
HG01067	female	AMR	PUR
HG01518	male	EUR	IBS
HG01706	female	EUR	IBS
HG01074	male	AMR	PUR
HG01520	female	EUR	IBS
HG01840	male	EAS	KHV
HG01079	male	AMR	PUR
HG01525	female	EUR	IBS
HG01845	female	EAS	KHV
HG01101	male	AMR	PUR
HG01614	female	EUR	IBS
HG01953	male	AMR	PEL
HG01106	male	AMR	PUR
HG01619	male	EUR	IBS
HG01958	female	AFR	ACB
HG01113	female	AMR	CLM
HG01621	male	EUR	IBS
HG01960	female	AFR	ACB
HG01125	female	AMR	CLM
HG01626	female	EUR	IBS
HG01965	female	AMR	PEL
HG01137	female	AMR	CLM
HG01599	female	EAS	KHV
HG01984	male	AMR	PEL
HG01149	female	AMR	CLM
HG01602	female	EUR	IBS
HG01989	female	AFR	ACB
HG01081	female	AMR	PUR
HG01607	female	EUR	IBS
HG01991	male	AMR	PEL
HG01086	female	AMR	PUR
HG01474	female	AMR	CLM
HG01883	female	AFR	ACB
HG01098	female	AMR	PUR
HG01479	male	AMR	CLM
HG01888	male	AFR	ACB
HG01276	female	AMR	CLM
HG01481	female	AMR	CLM
HG01890	male	AFR	ACB
HG01303	female	AMR	PUR
HG01486	female	AMR	CLM
HG01895	male	AFR	ACB
HG01187	male	AMR	PUR
HG01455	male	AMR	CLM
HG01927	female	AMR	PEL
HG01199	male	AMR	PUR
HG01462	female	AMR	CLM
HG01934	male	AMR	PEL
HG01365	male	AMR	CLM
HG01431	male	AMR	CLM
HG01939	female	AMR	PEL
HG01372	female	AMR	CLM
HG01443	male	AMR	CLM
HG01915	female	AFR	ACB
HG01377	male	AMR	CLM
HG01594	male	SAS	PJL
HG01922	female	AMR	PEL
HG01384	female	AMR	CLM
HG01784	female	EUR	IBS
HG02002	male	AMR	PEL
HG01389	male	AMR	CLM
HG01789	male	EUR	GBR
HG02014	male	AFR	ACB
HG01391	female	AMR	CLM
HG01791	male	EUR	GBR
HG01972	female	AMR	PEL
HG01308	male	AMR	PUR
HG01796	female	EAS	CDX
HG01977	male	AMR	PEL
HG01322	male	AMR	PUR
HG01633	male	EUR	IBS
HG01941	male	AMR	PEL
HG01327	male	AMR	PUR
HG01669	male	EUR	IBS
HG01946	male	AMR	PEL
HG01334	male	EUR	GBR
HG01671	male	EUR	IBS
HG01869	female	EAS	KHV
HG01341	male	AMR	CLM
HG01676	female	EUR	IBS
HG01871	female	EAS	KHV
HG01492	female	AMR	CLM
HG01710	female	EUR	IBS
HG02141	male	EAS	KHV
HG01497	male	AMR	CLM
HG01746	female	EUR	IBS
HG02146	male	AMR	PEL
HG01500	male	EUR	IBS
HG01765	male	EUR	IBS
HG02153	female	EAS	CDX
HG01505	male	EUR	IBS
HG01816	male	EAS	CDX
HG02083	male	EAS	KHV
HG01447	female	AMR	CLM
HG01842	male	EAS	KHV
HG02088	male	EAS	KHV
HG01454	female	AMR	CLM
HG01847	female	EAS	KHV
HG02090	male	AMR	PEL
HG01459	female	AMR	CLM
HG01859	female	EAS	KHV
HG02064	male	EAS	KHV
HG01461	male	AMR	CLM
HG01861	male	EAS	KHV
HG02069	female	EAS	KHV
HG01466	female	AMR	CLM
HG01866	male	EAS	KHV
HG02071	male	EAS	KHV
HG01346	female	AMR	CLM
HG01772	female	EUR	IBS
HG02076	male	EAS	KHV
HG01353	male	AMR	CLM
HG01777	male	EUR	IBS
HG02095	female	AFR	ACB
HG01358	male	AMR	CLM
HG01804	female	EAS	CDX
HG02108	female	AFR	ACB
HG01360	female	AMR	CLM
HG01809	female	EAS	CDX
HG02122	male	EAS	KHV
HG01512	male	EUR	IBS
HG01811	male	EAS	CDX
HG02040	male	EAS	KHV
HG01517	female	EUR	IBS
HG01683	male	EUR	IBS
HG02052	female	AFR	ACB
HG01524	male	EUR	IBS
HG01695	female	EUR	IBS
HG02057	female	EAS	KHV
HG01396	female	AMR	PUR
HG01703	male	EUR	IBS
HG02019	female	EAS	KHV
HG01404	female	AMR	PUR
HG01708	male	EUR	IBS
HG02021	male	EAS	KHV
HG01411	male	AMR	PUR
HG02004	female	AMR	PEL
HG02026	male	EAS	KHV
HG01473	male	AMR	CLM
HG02009	male	AFR	ACB
HG02127	female	EAS	KHV
HG01480	female	AMR	CLM
HG02011	male	AFR	ACB
HG02134	male	EAS	KHV
HG01485	male	AMR	CLM
HG02016	female	EAS	KHV
HG02139	female	EAS	KHV
HG01435	female	AMR	CLM
HG01885	male	AFR	ACB
HG02184	female	EAS	CDX
HG01442	male	AMR	CLM
HG01892	male	AMR	PEL
HG02189	female	EAS	CDX
HG01567	female	AMR	PEL
HG01897	male	AFR	ACB
HG02165	female	EAS	CDX
HG01579	male	AMR	PEL
HG01912	male	AFR	ACB
HG02266	female	AMR	PEL
HG01586	male	SAS	PJL
HG01917	male	AMR	PEL
HG02273	female	AMR	PEL
HG01593	female	SAS	PJL
HG01924	female	AMR	PEL
HG02278	female	AMR	PEL
HG01529	male	EUR	IBS
HG01986	male	AFR	ACB
HG02280	female	AFR	ACB
HG01531	female	EUR	IBS
HG01993	female	AMR	PEL
HG02398	male	EAS	CDX
HG01536	male	EUR	IBS
HG01998	male	AMR	PEL
HG02401	male	EAS	CDX
HG01550	male	AMR	CLM
HG01873	male	EAS	KHV
HG02406	male	EAS	CDX
HG01613	female	EUR	IBS
HG01878	female	EAS	KHV
HG02420	male	AFR	ACB
HG01618	female	EUR	IBS
HG01880	female	AFR	ACB
HG02367	male	EAS	CDX
HG01620	female	EUR	IBS
HG01943	male	AMR	PEL
HG02374	male	EAS	CDX
HG01625	male	EUR	IBS
HG01948	female	AMR	PEL
HG02379	male	EAS	CDX
HG01598	female	EAS	KHV
HG01950	male	AMR	PEL
HG02381	male	EAS	CDX
HG01601	male	EUR	IBS
HG01974	male	AMR	PEL
HG02285	male	AMR	PEL
HG01606	male	EUR	IBS
HG01979	male	AMR	PEL
HG02292	female	AMR	PEL
HG01632	female	EUR	IBS
HG01981	female	AMR	PEL
HG02300	male	AMR	PEL
HG01668	female	EUR	IBS
HG01955	female	AMR	PEL
HG02343	male	AFR	ACB
HG01670	female	EUR	IBS
HG01967	male	AMR	PEL
HG02348	female	AMR	PEL
HG01675	male	EUR	IBS
HG01936	female	AMR	PEL
HG02355	male	EAS	CDX
HG01682	male	EUR	IBS
HG02143	male	AFR	ACB
HG02254	female	AMR	PEL
HG01687	female	EUR	IBS
HG02148	female	AMR	PEL
HG02259	male	AMR	PEL
HG01694	male	EUR	IBS
HG02150	male	AMR	PEL
HG02261	male	AMR	PEL
HG01699	male	EUR	IBS
HG02155	female	EAS	CDX
HG02223	female	EUR	IBS
HG01702	female	EUR	IBS
HG02047	male	EAS	KHV
HG02230	female	EUR	IBS
HG01707	female	EUR	IBS
HG02054	female	AFR	ACB
HG02235	female	EUR	IBS
HG01769	female	EUR	IBS
HG02059	female	EAS	KHV
HG02312	female	AMR	PEL
HG01771	male	EUR	IBS
HG02023	male	EAS	KHV
HG02317	male	AFR	ACB
HG01776	female	EUR	IBS
HG02028	female	EAS	KHV
HG02386	male	EAS	CDX
HG01757	female	EUR	IBS
HG02030	male	EAS	KHV
HG02588	male	AFR	GWD
HG01764	female	EUR	IBS
HG02035	male	EAS	KHV
HG02590	male	AFR	GWD
HG01815	female	EAS	CDX
HG02186	female	EAS	CDX
HG02595	female	AFR	GWD
HG01841	female	EAS	KHV
HG02218	female	EUR	IBS
HG02603	male	SAS	PJL
HG01846	male	EAS	KHV
HG02220	female	EUR	IBS
HG02494	female	SAS	PJL
HG01783	male	EUR	IBS
HG02078	female	EAS	KHV
HG02502	female	AFR	ACB
HG01790	female	EUR	GBR
HG02080	female	EAS	KHV
HG02425	female	AMR	PEL
HG01795	female	EAS	CDX
HG02085	male	EAS	KHV
HG02449	male	AFR	ACB
HG01884	female	AFR	ACB
HG02129	male	EAS	KHV
HG02451	female	AFR	ACB
HG01889	female	AFR	ACB
HG02131	male	EAS	KHV
HG02569	male	AFR	GWD
HG01891	female	AFR	ACB
HG02136	female	EAS	KHV
HG02571	female	AFR	GWD
HG01896	female	AFR	ACB
HG02061	male	EAS	KHV
HG02583	female	AFR	GWD
HG01916	female	AFR	ACB
HG02073	male	EAS	KHV
HG02610	male	AFR	GWD
HG01923	male	AMR	PEL
HG02105	female	AMR	PEL
HG02615	female	AFR	GWD
HG01853	female	EAS	KHV
HG02179	female	EAS	CDX
HG02622	female	AFR	GWD
HG01858	female	EAS	KHV
HG02181	female	EAS	CDX
HG02514	male	EAS	KHV
HG01860	male	EAS	KHV
HG02383	male	EAS	CDX
HG02521	male	EAS	KHV
HG01865	male	EAS	KHV
HG02388	male	EAS	CDX
HG02526	female	EAS	KHV
HG01928	male	AMR	PEL
HG02390	male	EAS	CDX
HG02463	male	AFR	GWD
HG01935	male	AMR	PEL
HG02395	male	EAS	CDX
HG02470	male	AFR	ACB
HG01942	female	AMR	PEL
HG02287	female	AMR	PEL
HG02634	male	AFR	GWD
HG01947	male	AMR	PEL
HG02299	male	AMR	PEL
HG02646	female	AFR	GWD
HG01808	female	EAS	CDX
HG02302	male	AMR	PEL
HG02545	male	AFR	ACB
HG01810	male	EAS	CDX
HG02307	male	AFR	ACB
HG02557	male	AFR	ACB
HG01872	male	EAS	KHV
HG02314	male	AFR	ACB
HG02704	female	AFR	GWD
HG02003	female	AMR	PEL
HG02321	female	AFR	ACB
HG02716	female	AFR	GWD
HG02008	male	AMR	PEL
HG02225	female	EUR	IBS
HG02723	female	AFR	GWD
HG02010	female	AFR	ACB
HG02232	female	EUR	IBS
HG02728	female	SAS	PJL
HG02015	male	EAS	KHV
HG02237	female	EUR	IBS
HG02735	male	SAS	PJL
HG02091	female	AMR	PEL
HG02275	female	AMR	PEL
HG02759	male	AFR	GWD
HG02104	male	AMR	PEL
HG02282	female	AFR	ACB
HG02761	female	AFR	GWD
HG02111	female	AFR	ACB
HG02408	male	EAS	CDX
HG02689	male	SAS	PJL
HG02116	male	EAS	KHV
HG02410	male	EAS	CDX
HG02691	female	SAS	PJL
HG02077	male	EAS	KHV
HG02415	female	AMR	PEL
HG02696	male	SAS	PJL
HG02084	female	EAS	KHV
HG02364	male	EAS	CDX
HG02677	female	AFR	GWD
HG02089	female	AMR	PEL
HG02371	male	EAS	CDX
HG02684	male	SAS	PJL
HG01954	female	AMR	PEL
HG02256	female	AFR	ACB
HG02653	female	SAS	PJL
HG01959	female	AFR	ACB
HG02345	female	AMR	PEL
HG02658	female	SAS	PJL
HG01961	male	AMR	PEL
HG02629	female	AFR	GWD
HG02660	male	SAS	PJL
HG01985	female	AFR	ACB
HG02636	male	AFR	GWD
HG02780	male	SAS	PJL
HG01992	female	AMR	PEL
HG02643	female	AFR	GWD
HG02785	female	SAS	PJL
HG01997	female	AMR	PEL
HG02648	male	SAS	PJL
HG02792	male	SAS	PJL
HG01973	female	AMR	PEL
HG02650	male	SAS	PJL
HG02800	male	AFR	GWD
HG01978	female	AMR	PEL
HG02605	female	SAS	PJL
HG02805	female	AFR	GWD
HG01980	female	AMR	PEL
HG02612	male	AFR	GWD
HG02812	male	AFR	GWD
HG02058	male	EAS	KHV
HG02624	female	AFR	GWD
HG02773	male	AFR	GWD
HG02060	female	EAS	KHV
HG02547	male	AFR	ACB
HG02778	female	SAS	PJL
HG02072	female	EAS	KHV
HG02554	male	AFR	ACB
HG02817	female	AFR	GWD
HG02046	female	EAS	KHV
HG02559	female	AFR	ACB
HG02836	male	AFR	GWD
HG02053	male	AFR	ACB
HG02561	male	AFR	GWD
HG02982	male	AFR	GWD
HG02027	male	EAS	KHV
HG02489	male	AFR	ACB
HG03012	male	SAS	BEB
HG02142	female	EAS	KHV
HG02491	female	SAS	PJL
HG03017	male	SAS	PJL
HG02147	female	AMR	PEL
HG02496	male	AFR	ACB
HG02855	female	AFR	GWD
HG02154	female	EAS	CDX
HG02465	female	AFR	GWD
HG02862	female	AFR	GWD
HG02267	female	AMR	PEL
HG02477	female	AFR	ACB
HG02879	female	AFR	GWD
HG02274	male	AMR	PEL
HG02484	male	AFR	ACB
HG02881	male	AFR	GWD
HG02279	male	AMR	PEL
HG02573	male	AFR	GWD
HG03048	male	AFR	GWD
HG02281	male	AFR	ACB
HG02580	female	AFR	ACB
HG03050	male	AFR	GWD
HG02250	male	EAS	CDX
HG02585	male	AFR	GWD
HG03055	female	AFR	MSL
HG02255	male	AFR	ACB
HG02511	female	AFR	ACB
HG02968	male	AFR	ESN
HG02262	male	AMR	PEL
HG02523	female	EAS	KHV
HG02970	female	AFR	ESN
HG02286	female	AMR	PEL
HG02597	male	SAS	PJL
HG02975	male	AFR	ESN
HG02293	female	AMR	PEL
HG02600	male	SAS	PJL
HG03079	female	AFR	MSL
HG02298	female	AMR	PEL
HG02427	female	AFR	ACB
HG03081	male	AFR	MSL
HG02301	female	AMR	PEL
HG02439	male	AFR	ACB
HG03086	female	AFR	MSL
HG02224	male	EUR	IBS
HG02667	female	AFR	GWD
HG03024	male	AFR	GWD
HG02229	female	EUR	IBS
HG02679	female	AFR	GWD
HG03029	male	AFR	GWD
HG02231	male	EUR	IBS
HG02681	male	SAS	PJL
HG03062	male	AFR	MSL
HG02236	male	EUR	IBS
HG02686	male	SAS	PJL
HG03074	male	AFR	MSL
HG02128	male	EAS	KHV
HG02763	female	AFR	GWD
HG02944	male	AFR	ESN
HG02130	female	EAS	KHV
HG02768	male	AFR	GWD
HG02886	female	AFR	GWD
HG02135	male	EAS	KHV
HG02770	female	AFR	GWD
HG03163	male	AFR	ESN
HG02166	female	EAS	CDX
HG02775	female	SAS	PJL
HG03168	female	AFR	ESN
HG02173	female	EAS	CDX
HG02819	male	AFR	GWD
HG03170	male	AFR	ESN
HG02178	female	EAS	CDX
HG02821	male	AFR	GWD
HG03175	male	AFR	ESN
HG02180	female	EAS	CDX
HG02838	male	AFR	GWD
HG03238	female	SAS	PJL
HG02185	female	EAS	CDX
HG02840	female	AFR	GWD
HG03240	male	AFR	GWD
HG02217	female	EUR	IBS
HG02852	female	AFR	GWD
HG03303	female	AFR	ESN
HG02318	female	AFR	ACB
HG02787	female	SAS	PJL
HG03308	male	AFR	ESN
HG02464	male	AFR	GWD
HG02794	male	SAS	PJL
HG03310	female	AFR	ESN
HG02471	female	AFR	ACB
HG02799	female	AFR	GWD
HG03339	female	AFR	ESN
HG02476	female	AFR	ACB
HG02737	female	SAS	PJL
HG03118	male	AFR	ESN
HG02325	female	AFR	ACB
HG02756	male	AFR	GWD
HG03120	male	AFR	ESN
HG02332	male	AFR	ACB
HG02655	female	SAS	PJL
HG03125	female	AFR	ESN
HG02337	female	AFR	ACB
HG02662	female	SAS	PJL
HG03194	male	AFR	ESN
HG02344	male	AMR	PEL
HG02807	male	AFR	GWD
HG03199	male	AFR	ESN
HG02351	male	EAS	CDX
HG02814	female	AFR	GWD
HG03202	male	AFR	ESN
HG02399	male	EAS	CDX
HG02698	male	SAS	PJL
HG03271	male	AFR	ESN
HG02402	male	EAS	CDX
HG02701	male	SAS	PJL
HG03295	male	AFR	ESN
HG02407	male	EAS	CDX
HG02725	female	SAS	PJL
HG03132	female	AFR	ESN
HG02419	female	AFR	ACB
HG02883	male	AFR	GWD
HG03137	male	AFR	ESN
HG02356	male	EAS	CDX
HG02888	female	AFR	GWD
HG03098	male	AFR	MSL
HG02363	male	EAS	CDX
HG02890	male	AFR	GWD
HG03101	male	AFR	ESN
HG02375	male	EAS	CDX
HG02895	male	AFR	GWD
HG03113	female	AFR	ESN
HG02382	male	EAS	CDX
HG02922	female	AFR	ESN
HG03269	male	AFR	ESN
